Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, ",2,10uF,0805,C15850
"C3, ",1,10uF,0603,C19702
"C14, C13, ",2,12pF,0402,C1547
"C15, C4, C5, C6, C7, C8, C9, C10, C11, C12, ",10,100nF,0402,C1525
"C16, ",1,10nF,0402,C15195
"C17, C18, ",2,2.2uF,0603,C23630
"D1, ",1,B5819W,SOD-123,C8598
"D2, ",1,Green,0603,C72043
"D3, ",1,Blue,0603,C72041
"F1, ",1,500mA,1206,C163133
"FB1, FB2, ",2,100 @ 100Mhz,0805,C1015
"HSE1, ",1,16MHz,SMD-3225_4P,C13738
"R2, ",1,220,0402,C25091
"R5, R6, ",2,10k,0402,C25744
"R7, R1, R4, R3, ",4,2k2,0603,C4190
"U1, ",1,AMS1117-3.3,SOT-223,C6186
"U2, ",1,STM32F405RGT6,LQFP-64_10.0x10.0x0.5P,C15742
